year,month,day,dep_delay,arr_delay,carrier,origin,dest,air_time,distance,hour
2014,1,1,14,13,AA,JFK,LAX,359,2475,9
2014,1,1,-3,13,AA,JFK,LAX,363,2475,11
2014,1,1,2,9,AA,JFK,LAX,351,2475,19
2014,1,1,-8,-26,AA,LGA,PBI,157,1035,7
2014,1,1,2,1,AA,JFK,LAX,350,2475,13
2014,1,1,4,0,AA,EWR,LAX,339,2454,18
2014,1,1,-2,-18,AA,JFK,LAX,338,2475,21
2014,1,1,-3,-14,AA,JFK,LAX,356,2475,15
2014,1,1,-1,-17,AA,JFK,MIA,161,1089,15
2014,1,1,-2,-14,AA,JFK,SEA,349,2422,18
2014,1,1,-5,-17,AA,EWR,MIA,161,1085,16
2014,1,1,7,-5,AA,JFK,SFO,365,2586,17
2014,1,1,3,1,AA,JFK,BOS,39,187,12
2014,1,1,142,133,AA,JFK,LAX,345,2475,19
2014,1,1,-5,-26,AA,JFK,BOS,35,187,17
2014,1,1,18,69,AA,JFK,ORD,155,740,17
2014,1,1,25,36,AA,JFK,IAH,234,1417,16
2014,1,1,-1,1,AA,JFK,AUS,232,1521,17
2014,1,1,191,185,AA,EWR,DFW,214,1372,16
2014,1,1,-7,-6,AA,LGA,ORD,142,733,5
2014,1,1,-7,0,AA,LGA,ORD,143,733,6
2014,1,1,-8,-17,AA,LGA,ORD,139,733,6
2014,1,1,-2,15,AA,LGA,ORD,145,733,7
2014,1,1,-3,1,AA,LGA,ORD,139,733,8
2014,1,1,44,42,AA,LGA,ORD,141,733,10
2014,1,1,-1,-2,AA,EWR,DFW,214,1372,14
2014,1,1,3,12,AA,LGA,ORD,137,733,10
2014,1,1,-5,24,AA,LGA,ORD,145,733,11
2014,1,1,26,46,AA,LGA,ORD,132,733,13
2014,1,1,52,91,AA,LGA,ORD,136,733,16
2014,1,1,55,84,AA,LGA,ORD,133,733,17
2014,1,1,36,59,AA,LGA,ORD,138,733,18
2014,1,1,0,-27,AA,JFK,STT,197,1623,7
2014,1,1,11,44,AA,LGA,ORD,136,733,19
2014,1,1,-5,-17,AA,JFK,SJU,198,1598,18
2014,1,1,-10,-19,AA,LGA,MIA,164,1096,11
2014,1,1,-6,-4,AA,LGA,MIA,168,1096,13
2014,1,1,7,-8,AA,JFK,MIA,166,1089,9
